date,stablecoin,issuer,gecko_id,defillama_asset_id,price_usd,peg_dev,abs_peg_dev,tail_depeg_50bp,tail_depeg_100bp,downside_depeg_50bp,downside_depeg_100bp,premium_50bp,circulating_face_usd,market_cap_usd_est,active_chains_with_supply,market_stress_flag,market_stress_window_ids,market_stress_types,source_price,source_supply,access_date,rule_version,rule_status,provisional_flag,provisional_reason,latest_disclosure_event_id,latest_disclosure_report_date,latest_disclosure_publication_date,days_since_disclosure,stale_disclosure_45d,report_to_publication_lag_days,pilot_rqi_asof,pilot_dii_asof,disclosure_rule_version_asof,disclosure_rule_status_asof,disclosure_asset_confidence_asof,disclosure_manual_review_required_asof,stress_regime_asof,asof_merge_rule,coding_status
2022-02-14,USDC,Circle,usd-coin,2,1.0002074575,0.0002074575,0.0002074575,0,0,0,0,0,46409299749.00,46418927704.37,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-15,USDC,Circle,usd-coin,2,0.9999529954,-0.0000470046,0.0000470046,0,0,0,0,0,46490992459.00,46488807168.98,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-16,USDC,Circle,usd-coin,2,1.0000372537,0.0000372537,0.0000372537,0,0,0,0,0,46571012140.00,46572747082.12,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-17,USDC,Circle,usd-coin,2,0.9989945015,-0.0010054985,0.0010054985,0,0,0,0,0,46652480244.00,46605571245.24,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-18,USDC,Circle,usd-coin,2,0.9993043308,-0.0006956692,0.0006956692,0,0,0,0,0,46408032810.00,46375748171.88,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-19,USDC,Circle,usd-coin,2,1.0007035124,0.0007035124,0.0007035124,0,0,0,0,0,46478101159.00,46510799080.12,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-20,USDC,Circle,usd-coin,2,1.0024519527,0.0024519527,0.0024519527,0,0,0,0,0,46508916076.00,46622953739.52,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-21,USDC,Circle,usd-coin,2,1.0016246907,0.0016246907,0.0016246907,0,0,0,0,0,46547773207.00,46623398942.34,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-22,USDC,Circle,usd-coin,2,1.0016619796,0.0016619796,0.0016619796,0,0,0,0,0,46588984173.00,46666414113.91,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-23,USDC,Circle,usd-coin,2,0.9997218294,-0.0002781706,0.0002781706,0,0,0,0,0,46766228554.00,46753219565.20,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-24,USDC,Circle,usd-coin,2,1.0004966672,0.0004966672,0.0004966672,0,0,0,0,0,46920192948.00,46943496669.02,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-25,USDC,Circle,usd-coin,2,1.0008244235,0.0008244235,0.0008244235,0,0,0,0,0,47192138526.00,47231044833.67,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,USDC_ASSURANCE_2022_01,2022-01-31,2022-02-25,0,0,25,,0.6275,RQI_DII_v1.0,frozen_confirmed_by_researcher,low,1,normal,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
